invoice_id,invoice_line_id,project,invoice_status,usage_fee
3633397,3668207,D,Paid,0.4
3789635,3830761,C,Paid,0.4
3834079,3877040,C,Paid,0.4
3762370,3802439,E,Paid,0.4
3891457,3937081,E,Paid,0.4
16549086,23393784,E,Paid,0.4
3640050,3675126,E,Paid,0.4
3685123,3721984,D,Paid,0.4
3647945,3683400,E,Paid,0.4
3587696,3620700,E,Paid,0.4
16562286,23409292,E,Paid,0.4
3900503,3946349,D,Paid,0.4
3682259,3718942,K,Paid,0.4
3899282,3945089,E,Paid,0.4
3652681,3688333,E,Paid,0.4
3627787,3662288,E,Paid,0.4
3685432,3722313,G,Paid,0.4229925
3668938,3705043,G,Paid,0.4234074
3665738,3701747,G,Paid,0.4234074
3764969,3805160,G,Paid,0.4291443
3770236,3810653,G,Paid,0.4291443
3654523,3690213,I,Paid,0.45148648
3621882,3656114,I,Paid,0.4564776
3904282,3950313,E,Paid,0.49
3880804,3925935,E,Paid,0.49
16599528,23453161,E,Paid,0.49
3901450,3947340,E,Paid,0.49
3690714,3727828,E,Paid,0.49
3748071,3787514,E,Paid,0.49
3871532,3916153,E,Paid,0.49
16612324,23470827,E,Paid,0.49
3707274,3745275,E,Paid,0.49
3890426,3935986,E,Paid,0.49
3727767,3766578,E,Paid,0.49
3648738,3684238,E,Paid,0.49
3582804,3615705,B,Paid,0.5
3879632,3924700,D,Paid,0.5
3712719,3751005,B,Paid,0.5
3884726,3930044,D,Paid,0.5
3749344,3788808,D,Paid,0.5
3793286,3834666,D,Paid,0.5
3587408,3620404,D,Paid,0.5
3849096,3892769,D,Paid,0.5
3785863,3826874,D,Paid,0.5
3714534,3752872,H,Paid,0.5
3724723,3763447,D,Paid,0.5
3757666,3797509,D,Paid,0.5
3899613,3945427,D,Paid,0.5
3897786,3943556,B,Paid,0.5
3783677,3824614,D,Paid,0.5
3878323,3923314,D,Paid,0.5
3897490,3943257,B,Paid,0.5
3725366,3764109,D,Paid,0.5
3789907,3831048,D,Paid,0.5
3884473,3929788,D,Paid,0.5
3587006,3619989,D,Paid,0.5
3600521,3633865,D,Paid,0.5
3813988,3856162,D,Paid,0.5
3766176,3806405,D,Paid,0.5
3821341,3863854,D,Paid,0.5
3809753,3851782,D,Paid,0.5
3904098,3950119,B,Paid,0.5
3599806,3633119,D,Paid,0.5
3711349,3749586,D,Paid,0.5
3788136,3829208,L,Paid,0.5
3606642,3640238,D,Paid,0.5
3698647,3736224,D,Paid,0.5
3740248,3779358,D,Paid,0.5
3839187,3882379,D,Paid,0.5
3789529,3830649,D,Paid,0.5
3666878,3702909,D,Paid,0.5
3602608,3636039,B,Paid,0.5
3751950,3791540,D,Paid,0.5
3908867,3955110,D,Paid,0.5
3829674,3872386,D,Paid,0.5
3840062,3883296,D,Paid,0.5
3769356,3809732,D,Paid,0.5
3864531,3908860,D,Paid,0.5
3728366,3767191,D,Paid,0.5
3907024,3953178,D,Paid,0.5
3681975,3718637,K,Paid,0.5
3741269,3780433,D,Paid,0.5
3801529,3843211,D,Paid,0.5
3800027,3841657,D,Paid,0.5
3672366,3708623,D,Paid,0.5
3738145,3777180,D,Paid,0.5
3858745,3902917,D,Paid,0.5
3727602,3766407,B,Paid,0.5
3748791,3788246,D,Paid,0.5
3595759,3629009,B,Paid,0.5
3689931,3727005,D,Paid,0.57
3624530,3658899,D,Paid,0.57
3753632,3793301,D,Paid,0.57
58434365,82188860,D,Paid,0.57
58194488,81886846,D,Paid,0.57
3610102,3643835,D,Paid,0.57
3643953,3679240,D,Paid,0.57
3706693,3744659,D,Paid,0.57
3812647,3854767,D,Paid,0.57
3847718,3891327,D,Paid,0.57
3839225,3882418,D,Paid,0.57
58285281,81993519,D,Paid,0.57
58257048,81972154,D,Paid,0.57
3678969,3715513,D,Paid,0.57
58257073,81951675,D,Paid,0.57
3790029,3831175,D,Paid,0.57
58489225,82249470,D,Paid,0.57
58067857,81746128,D,Paid,0.57
3704200,3742048,D,Paid,0.57
58133010,81817173,D,Paid,0.57
3685803,3722720,D,Paid,0.57
3708831,3746939,D,Paid,0.57
58610941,82395236,D,Paid,0.57
57955944,81596795,D,Paid,0.57
3761960,3801995,D,Paid,0.57
3880663,3925787,D,Paid,0.57
58395586,82147096,D,Paid,0.57
58395586,82147983,D,Paid,0.57
3714901,3753255,D,Paid,0.57
3838208,3881344,D,Paid,0.57
3778116,3818858,D,Paid,0.57
58101416,81768049,D,Paid,0.57
58550646,82329805,D,Paid,0.57
58006332,81662993,D,Paid,0.57
3750288,3789791,D,Paid,0.57
3759762,3799695,D,Paid,0.57
58285702,82015199,D,Paid,0.57
3869226,3913738,D,Paid,0.57
3838583,3881737,D,Paid,0.57
57957207,81589229,D,Paid,0.57
3869555,3914076,D,Paid,0.57
58488914,82236127,D,Paid,0.57
57901525,81541179,D,Paid,0.57
58133921,81830331,D,Paid,0.57
58354871,82074160,D,Paid,0.57
3803032,3844763,D,Paid,0.57
58035997,81704988,D,Paid,0.57
3819235,3861653,D,Paid,0.57
58284625,81984591,D,Paid,0.57
58581785,82378299,D,Paid,0.57
3768435,3808763,D,Paid,0.57
3728386,3767211,D,Paid,0.57
3753949,3793627,D,Paid,0.57
3591618,3624760,D,Paid,0.57
58581545,82347131,D,Paid,0.57
3640470,3675587,D,Paid,0.57
58255847,81969418,D,Paid,0.57
